FID,vid,cid,id,source,project,pcode,name,visit_date,visit_onsite,visit_onsite_novisitreason,geom,longitude,latitude,location_origin,province,province_old,territoire,collectivite,groupement,village,workers_numb,access_dry,access_wet,is_3t_mine,is_gold_mine,mineral1,selling_points_mineral1,final_destination_mineral1,mineral2,selling_points_mineral2,final_destination_mineral2,mineral3,selling_points_mineral3,final_destination_mineral3,mercury,presence,interference,armed_group1,type_armed_group1,frequency_armed_group1,taxation_armed_group1,commerce_taxation_armed_group1,entrance_taxation_armed_group1,monopoly_armed_group1,buying_minerals_armed_group1,digging_armed_group1,forced_labour_armed_group1,pillaging_armed_group1,armed_group2,type_armed_group2,frequency_armed_group2,taxation_armed_group2,commerce_taxation_armed_group2,entrance_taxation_armed_group2,monopoly_armed_group2,buying_minerals_armed_group2,digging_armed_group2,forced_labour_armed_group2,pillaging_armed_group2,state_service1,state_service2,state_service3,state_service4,itsci,traceability,qualification,childunder15,childunder15work,women,womenwork
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1372,1405,363,363,BGR,Qualification status,codmine01636,Wakumwanza,2013-12-01,1,,POINT (27.45791 -7.27722),27.45791,-7.27722,GPS,Tanganyika,Katanga,Manono,Bakongolo,Kanteba,Kanteba,,,,0,1,Or,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1371,1406,388,388,BGR,Qualification status,codmine02377,Beton,2013-12-01,1,,POINT (27.3648333333 -8.5932777778),27.36483333,-8.59327778,GPS,Haut-Katanga,Katanga,Mitwaba,MwikaBeton,,,,,,1,0,Cassitérite,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1370,1407,389,389,BGR,Qualification status,codmine02380,Bukena,2013-12-01,1,,POINT (27.15 -7.6667),27.15,-7.6667,GPS,Haut-Lomami,Katanga,Malemba-Nkulu,Ngoya,,,,,,1,0,Cassitérite,,,Coltan,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-136f,1408,391,391,BGR,Qualification status,codmine02385,Cimetière,2013-12-01,1,,POINT (28.1939444444 -6.0071111111),28.19394444,-6.00711111,GPS,Tanganyika,Katanga,Kalemie,Maibaridi,,,,,,1,0,Coltan,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-136e,1409,393,393,BGR,Qualification status,codmine02394,Hopital,2013-12-01,1,,POINT (28.3115277778 -5.6091666667),28.31152778,-5.60916667,GPS,Tanganyika,Katanga,Nyunzu,Kisengo,,,,,,1,0,Coltan,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-136d,1410,394,394,BGR,Qualification status,codmine02397,Kahemba,2013-12-01,1,,POINT (28.29055556 -5.600916667),28.29055556,-5.60091667,GPS,Tanganyika,Katanga,Nyunzu,Kisengo,,,,,,1,0,Coltan,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-136c,1411,402,402,BGR,Qualification status,codmine02456,Lunga,2013-12-01,1,,POINT (28.1478 -5.1422),28.1478,-5.1422,GPS,Tanganyika,Katanga,Nyunzu,Kahendwa,,,,,,0,1,Or,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Jaune,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-136b,1412,406,406,BGR,Qualification status,codmine02468,Matantali,2013-12-01,1,,POINT (28.2980833333 -5.6038611111),28.29808333,-5.60386111,GPS,Tanganyika,Katanga,Nyunzu,Kisengo,,,,,,1,0,Coltan,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-136a,1413,412,412,BGR,Qualification status,codmine02497,Rochedur,2013-12-01,1,,POINT (27.3819444444 -7.3188888889),27.38194444,-7.31888889,GPS,Tanganyika,Katanga,Manono,Djibende,,,,,,1,0,Cassitérite,,,Coltan,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1369,1414,414,414,BGR,Qualification status,codmine02498,Sabbat,2013-12-01,1,,POINT (28.2641388889 -5.6020833333),28.26413889,-5.60208333,GPS,Tanganyika,Katanga,Nyunzu,Kisengo,,,,,,1,0,Coltan,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1368,1415,441,441,BGR,Qualification status,codmine02744,Malemba,2013-12-01,1,,POINT (28.2956 -5.6023),28.2956,-5.6023,GPS,Haut-Lomami,Katanga,Malemba-Nkulu,Nord-Lukuga,,,,,,1,0,Cassitérite,,,Coltan,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1367,1416,442,442,BGR,Qualification status,codmine02745,Hopital Mulefu,2013-12-01,1,,POINT (27.1167038032 -8.2619917372),27.1167038,-8.26199174,GPS,Tanganyika,Katanga,Nyunzu,Kayumba,,,,,,1,0,Coltan,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1366,1417,444,444,BGR,Qualification status,codmine02746,Masani,2013-12-01,1,,POINT (28.2888 -5.5995),28.2888,-5.5995,GPS,Tanganyika,Katanga,Nyunzu,Nord-Lukuga,,,,,,1,0,Coltan,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1365,1418,446,446,BGR,Qualification status,codmine02747,Ngulu Ya Mabwe,2013-12-01,1,,POINT (28.2794 -5.5851),28.2794,-5.5851,GPS,Tanganyika,Katanga,Nyunzu,Nord-Lukuga,,,,,,1,0,Coltan,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1364,1419,1277,420,IPIS - Ministère des Mines,IPIS - PROMINES MoFA 2013-2014,codmine00437,Kalay Boeing,2013-12-02,1,,POINT (27.69007 -0.984598),27.69007,-0.984598,GPS,Nord-Kivu,Nord-Kivu,Walikale,Wanianga,Utunda 2,Malumbu,711,,,1,1,Cassitérite,"Walikale, Mubi, Kisangani","Bukavu, Goma, Beni",Or,"Walikale, Mubi","Bukavu, Goma",Diamant,"Walikale, Mubi, Kisangani","Bukavu, Goma, Beni",,1,1,Maï-Maï Simba,Groupe armé local,Permanente,1,,,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,
